epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,115.782,0.72696,0.87879,1,0.63907,0.000236494,0.000236494,0.000236494
2,231.943,0.1003,0.93939,1,0.61251,0.000459814,0.000459814,0.000459814
3,349.464,0.06088,1,1,0.58198,0.000668408,0.000668408,0.000668408
4,467.166,0.07516,1,1,0.55332,0.000647732,0.000647732,0.000647732
5,581.88,0.03639,0.9697,1,0.56709,0.000625642,0.000625642,0.000625642
6,697.251,0.04878,0.93939,1,0.57169,0.000603553,0.000603553,0.000603553
7,811.667,0.03192,0.9697,1,0.56864,0.000581464,0.000581464,0.000581464
8,924.579,0.0424,0.9697,1,0.56844,0.000559374,0.000559374,0.000559374
9,1037.42,0.03722,0.90909,1,0.59214,0.000537285,0.000537285,0.000537285
10,1162.22,0.0278,1,1,0.58093,0.000515196,0.000515196,0.000515196
11,1275.49,0.02588,1,1,0.55592,0.000493106,0.000493106,0.000493106
12,1388.32,0.01342,1,1,0.55654,0.000471017,0.000471017,0.000471017
13,1501.85,0.01128,1,1,0.55448,0.000448928,0.000448928,0.000448928
14,1615.01,0.01863,1,1,0.55925,0.000426838,0.000426838,0.000426838
15,1731.11,0.03232,0.9697,1,0.56135,0.000404749,0.000404749,0.000404749
16,1844.22,0.01773,0.9697,1,0.56884,0.000382659,0.000382659,0.000382659
17,1959.68,0.01657,1,1,0.55681,0.00036057,0.00036057,0.00036057
18,2073.13,0.01279,0.9697,1,0.56331,0.000338481,0.000338481,0.000338481
19,2186,0.01292,0.9697,1,0.58971,0.000316391,0.000316391,0.000316391
20,2299.05,0.01048,0.9697,1,0.56905,0.000294302,0.000294302,0.000294302
21,2411.4,0.00879,0.9697,1,0.5685,0.000272212,0.000272212,0.000272212
22,2523.69,0.00852,0.9697,1,0.80931,0.000250123,0.000250123,0.000250123
23,3305.4,0.01207,0.9697,1,0.56335,0.000228034,0.000228034,0.000228034
24,3967.93,0.00988,0.9697,1,0.56647,0.000205944,0.000205944,0.000205944
25,4084.81,0.01083,0.9697,1,0.56846,0.000183855,0.000183855,0.000183855
26,4199.89,0.01038,1,1,0.56037,0.000161766,0.000161766,0.000161766
27,4314.94,0.00527,1,1,0.55745,0.000139676,0.000139676,0.000139676
28,4429.56,0.00967,1,1,0.55689,0.000117587,0.000117587,0.000117587
29,4544.91,0.00716,1,1,0.56892,9.54975e-05,9.54975e-05,9.54975e-05
30,4658.89,0.00698,0.9697,1,0.56586,7.34081e-05,7.34081e-05,7.34081e-05
31,4772.66,0.01155,0.9697,1,0.56332,5.13187e-05,5.13187e-05,5.13187e-05
32,4889.53,0.00621,0.9697,1,0.56222,2.92294e-05,2.92294e-05,2.92294e-05
